epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.0473,1.49516,3.61259,1.05495,0.01358,0.77149,0.16507,0.10899,1.15466,3.44556,0.88722,0.000192561,0.000192561,0.000192561
2,178.182,1.2081,1.99267,0.96835,0.86673,0.13172,0.1988,0.13428,1.10263,2.41634,0.90568,0.000369328,0.000369328,0.000369328
3,269.236,1.14066,1.77401,0.94822,0.82512,0.22976,0.20045,0.14037,1.02412,1.83748,0.89473,0.00052669,0.00052669,0.00052669
4,358.617,1.11025,1.69084,0.94286,0.73743,0.24953,0.2314,0.16997,0.99148,1.49579,0.88369,0.000500682,0.000500682,0.000500682
5,446.279,1.04608,1.56807,0.93054,0.85917,0.23111,0.26442,0.19686,0.98887,1.50894,0.88809,0.000471576,0.000471576,0.000471576
6,536.561,1.04918,1.53981,0.92489,0.86548,0.23417,0.28107,0.20333,0.96035,1.38679,0.8829,0.00044247,0.00044247,0.00044247
7,627.159,1.02368,1.43659,0.92496,0.87612,0.26134,0.27725,0.21113,0.95702,1.26644,0.88552,0.000413364,0.000413364,0.000413364
8,713.26,0.9895,1.36408,0.91969,0.75781,0.24463,0.26038,0.19394,0.9934,1.37426,0.89454,0.000384258,0.000384258,0.000384258
9,798.783,0.99984,1.37015,0.9198,0.89083,0.25133,0.30173,0.22902,0.94828,1.23848,0.8818,0.000355152,0.000355152,0.000355152
10,5393.36,0.97334,1.28094,0.90897,0.88209,0.25546,0.32466,0.24415,0.94886,1.23789,0.87767,0.000326046,0.000326046,0.000326046
11,5765.34,0.95681,1.43097,0.9021,0.57762,0.3161,0.29757,0.22927,0.95307,1.28,0.88395,0.00029694,0.00029694,0.00029694
12,5857.19,0.94638,1.35256,0.89431,0.8708,0.26379,0.30753,0.23281,0.96455,1.23563,0.88024,0.000267834,0.000267834,0.000267834
13,5946.92,0.92354,1.31301,0.8862,0.88753,0.27556,0.31459,0.24212,0.93545,1.13822,0.87869,0.000238728,0.000238728,0.000238728
14,6037.28,0.90074,1.24496,0.89013,0.89653,0.28186,0.32932,0.25013,0.94336,1.11416,0.87315,0.000209622,0.000209622,0.000209622
15,6125.65,0.88983,1.21796,0.88062,0.91496,0.24679,0.32606,0.25255,0.93112,1.0855,0.87435,0.000180516,0.000180516,0.000180516
16,6217.05,0.88457,1.17695,0.8804,0.79628,0.26687,0.32823,0.24957,0.93709,1.09473,0.86997,0.00015141,0.00015141,0.00015141
17,6311.88,0.88285,1.19414,0.88107,0.79747,0.26692,0.33475,0.25768,0.91467,1.04986,0.86884,0.000122304,0.000122304,0.000122304
18,6406.42,0.86334,1.1491,0.8734,0.24022,0.35354,0.3344,0.25854,0.90138,1.0341,0.86487,9.3198e-05,9.3198e-05,9.3198e-05
19,6499.24,0.85223,1.10448,0.87233,0.7994,0.26653,0.32187,0.24859,0.90896,1.04378,0.86482,6.4092e-05,6.4092e-05,6.4092e-05
20,6594.2,0.84744,1.11615,0.86945,0.79507,0.27549,0.32326,0.25208,0.9042,1.03387,0.86469,3.4986e-05,3.4986e-05,3.4986e-05
