epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6121,1.6813,4.32381,1.15772,0.01075,0.55037,0.05858,0.04122,1.20986,4.19763,0.9215,0.000191442,0.000191442,0.000191442
2,56.2291,1.47256,2.95399,1.02679,0.8134,0.13212,0.16854,0.11253,1.29063,2.71865,0.93334,0.000259586,0.000259586,0.000259586
3,83.4469,1.40761,2.34738,1.01467,0.82084,0.19229,0.1926,0.1265,1.19239,2.1014,0.92465,0.00019837,0.00019837,0.00019837
