epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.677,1.0257,2.15013,0.92921,0.90269,0.17591,0.2055,0.16862,0.67019,1.23917,0.84415,0.000195472,0.000195472,0.000195472
2,1190.26,0.81185,1.33524,0.8815,0.76746,0.23346,0.21743,0.18063,0.66838,1.10318,0.83941,0.000365635,0.000365635,0.000365635
3,1817.59,0.77231,1.1763,0.8738,0.70297,0.22931,0.23659,0.19937,0.644,0.96899,0.83208,0.000509925,0.000509925,0.000509925
4,2430.78,0.74344,1.05485,0.86614,0.41888,0.35513,0.2856,0.2456,0.59207,0.90047,0.82974,0.000471576,0.000471576,0.000471576
5,3022.45,0.71816,0.99104,0.86477,0.64106,0.36127,0.31523,0.26719,0.58022,0.85559,0.82755,0.000432768,0.000432768,0.000432768
6,4696.1,0.6718,0.9404,0.84328,0.73942,0.28353,0.29564,0.24956,0.60256,0.82608,0.8293,0.00039396,0.00039396,0.00039396
7,5280.21,0.65354,0.86216,0.84078,0.73108,0.28248,0.29588,0.24913,0.60416,0.80252,0.83116,0.000355152,0.000355152,0.000355152
8,5891.46,0.63477,0.79566,0.83731,0.78125,0.34028,0.39976,0.33313,0.58065,0.73637,0.82467,0.000316344,0.000316344,0.000316344
9,6496,0.62261,0.76428,0.83546,0.76833,0.30367,0.33935,0.29046,0.56948,0.70234,0.82386,0.000277536,0.000277536,0.000277536
10,7095.06,0.61293,0.72614,0.83022,0.74214,0.30621,0.38841,0.32766,0.54884,0.66809,0.81956,0.000238728,0.000238728,0.000238728
11,7692.22,0.59962,0.6952,0.83203,0.78464,0.40457,0.4378,0.37254,0.54305,0.65916,0.81865,0.00019992,0.00019992,0.00019992
12,8301.97,0.59279,0.67017,0.8282,0.57294,0.42908,0.40322,0.34488,0.53976,0.63376,0.81768,0.000161112,0.000161112,0.000161112
13,8903.78,0.58057,0.65083,0.82801,0.71596,0.36235,0.42201,0.36016,0.53861,0.6205,0.81644,0.000122304,0.000122304,0.000122304
14,9496.44,0.5689,0.62853,0.82177,0.45832,0.46778,0.42896,0.36666,0.52458,0.61349,0.81592,8.3496e-05,8.3496e-05,8.3496e-05
15,10100.7,0.55672,0.60703,0.81926,0.72562,0.39758,0.4308,0.37006,0.51608,0.58795,0.81498,4.4688e-05,4.4688e-05,4.4688e-05
