epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9197,1.64297,4.01038,1.12949,0.9652,0.02122,0.17348,0.1272,1.26287,3.81739,0.91145,0.0001925,0.0001925,0.0001925
2,71.7156,1.33684,2.37903,0.99735,0.85403,0.17589,0.18838,0.11578,1.17314,2.4044,0.92265,0.000260295,0.000260295,0.000260295
3,108.278,1.28108,2.1188,0.9846,0.83677,0.19387,0.22357,0.13953,1.09864,1.8572,0.92273,0.00019873,0.00019873,0.00019873
