epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0292,1.64297,4.01038,1.12949,0.9652,0.02122,0.17348,0.1272,1.26287,3.81739,0.91145,0.0001925,0.0001925,0.0001925
2,94.2873,1.33595,2.35279,0.99733,0.85281,0.17833,0.19105,0.11544,1.16375,2.35725,0.92494,0.000311577,0.000311577,0.000311577
3,142.814,1.28028,2.05615,0.98982,0.83953,0.18795,0.22129,0.13807,1.13445,1.74923,0.93894,0.000353038,0.000353038,0.000353038
4,189.702,1.24852,1.91418,1.00017,0.80906,0.22536,0.21222,0.1482,1.10096,1.68843,0.92415,0.000238728,0.000238728,0.000238728
5,237.655,1.19926,1.82203,0.97387,0.81752,0.22289,0.22052,0.1534,1.04921,1.6259,0.91391,0.000122304,0.000122304,0.000122304
