epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.026,1.45431,3.46147,1.0346,0.86966,0.03689,0.15759,0.1041,1.1405,3.11496,0.89144,0.00019303,0.00019303,0.00019303
2,225.629,1.225,1.94635,0.9605,0.75247,0.20623,0.18675,0.12656,1.07641,1.83277,0.89658,0.000363354,0.000363354,0.000363354
3,339.591,1.14713,1.70574,0.94279,0.53827,0.24918,0.20335,0.14186,1.07764,1.59105,0.90094,0.000507806,0.000507806,0.000507806
4,455.149,1.10121,1.60291,0.9324,0.74976,0.26286,0.20724,0.14905,0.98555,1.55207,0.88815,0.000471576,0.000471576,0.000471576
5,573.095,1.07324,1.51794,0.92705,0.86539,0.21724,0.22089,0.16065,0.98329,1.41879,0.89022,0.000432768,0.000432768,0.000432768
6,691.288,1.04253,1.68281,0.9182,0.85803,0.21773,0.22535,0.16453,0.97291,1.4714,0.88507,0.00039396,0.00039396,0.00039396
7,808.9,1.02011,1.5358,0.90227,0.87307,0.23461,0.23438,0.17261,0.99629,1.32622,0.88818,0.000355152,0.000355152,0.000355152
8,927.149,1.0093,1.49521,0.90316,0.88488,0.2365,0.24097,0.17904,0.96841,1.23583,0.88057,0.000316344,0.000316344,0.000316344
9,1044.68,0.98283,1.39086,0.89351,0.89585,0.22186,0.24818,0.18788,0.92822,1.21931,0.87864,0.000277536,0.000277536,0.000277536
10,1160.22,0.95672,1.3365,0.88747,0.88413,0.24082,0.24986,0.19068,0.91423,1.19214,0.87181,0.000238728,0.000238728,0.000238728
11,1264.56,0.94334,1.27295,0.88704,0.89596,0.23773,0.25934,0.19569,0.91911,1.13739,0.87182,0.00019992,0.00019992,0.00019992
12,1369.3,0.92121,1.26299,0.88242,0.89857,0.23379,0.27176,0.20786,0.91938,1.11073,0.87082,0.000161112,0.000161112,0.000161112
13,1477.47,0.90025,1.19922,0.87705,0.79567,0.24733,0.27529,0.21127,0.91105,1.0953,0.86987,0.000122304,0.000122304,0.000122304
14,1586.48,0.90107,1.18926,0.88135,0.8018,0.2333,0.27864,0.21575,0.9021,1.09014,0.86696,8.3496e-05,8.3496e-05,8.3496e-05
15,1695.05,0.90085,1.16164,0.87533,0.80186,0.24431,0.28048,0.21859,0.87591,1.06775,0.86315,4.4688e-05,4.4688e-05,4.4688e-05
