epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,335.519,1.14847,2.4438,0.97127,0.87185,0.18937,0.16776,0.13357,0.78114,1.49848,0.8681,0.000195062,0.000195062,0.000195062
2,3703.63,0.912,1.48741,0.91039,0.88214,0.19045,0.17921,0.14209,0.82968,1.36942,0.87243,0.000365252,0.000365252,0.000365252
3,4057.54,0.87128,1.33015,0.89946,0.89999,0.19437,0.20141,0.16406,0.75586,1.22334,0.86697,0.00050957,0.00050957,0.00050957
4,4479.57,0.82572,1.23096,0.89006,0.90491,0.19139,0.20336,0.16567,0.72776,1.14389,0.86536,0.000471576,0.000471576,0.000471576
5,4978.6,0.81567,1.15819,0.89002,0.8241,0.20126,0.21276,0.17369,0.74958,1.18282,0.86145,0.000432768,0.000432768,0.000432768
6,5424.56,0.77065,1.15879,0.86982,0.8388,0.19331,0.23024,0.18884,0.7135,1.03385,0.86232,0.00039396,0.00039396,0.00039396
7,5879.79,0.74799,1.06002,0.86439,0.58266,0.27928,0.24953,0.2057,0.71705,0.97618,0.85814,0.000355152,0.000355152,0.000355152
8,6344.13,0.72647,0.98587,0.85996,0.63624,0.25687,0.25862,0.21833,0.70275,0.9347,0.85717,0.000316344,0.000316344,0.000316344
9,6804.09,0.71282,0.9348,0.85681,0.60577,0.26859,0.25465,0.21407,0.6744,0.91486,0.8531,0.000277536,0.000277536,0.000277536
10,7266.55,0.7021,0.89347,0.85229,0.63702,0.28263,0.28457,0.23595,0.66455,0.87064,0.85338,0.000238728,0.000238728,0.000238728
11,12725.2,0.67969,0.8643,0.85078,0.60053,0.32611,0.28536,0.23998,0.66478,0.84874,0.84942,0.00019992,0.00019992,0.00019992
12,13070.1,0.67754,0.82841,0.84933,0.69346,0.30933,0.29753,0.248,0.65754,0.84092,0.84701,0.000161112,0.000161112,0.000161112
13,13428.8,0.66714,0.79722,0.84366,0.70005,0.27034,0.31014,0.25864,0.65218,0.79653,0.85024,0.000122304,0.000122304,0.000122304
14,13919.9,0.65002,0.76827,0.84302,0.67369,0.26821,0.31137,0.26086,0.64342,0.78258,0.84535,8.3496e-05,8.3496e-05,8.3496e-05
15,14413.3,0.64731,0.76218,0.843,0.68257,0.31197,0.31332,0.26316,0.63966,0.78436,0.84578,4.4688e-05,4.4688e-05,4.4688e-05
