epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.586,1.246,2.69265,0.98678,0.82552,0.16921,0.18316,0.14796,0.88372,1.91193,0.88607,0.000194759,0.000194759,0.000194759
2,507.833,0.99815,1.56475,0.92418,0.87991,0.19224,0.18041,0.14052,0.8612,1.36364,0.8936,0.000364969,0.000364969,0.000364969
3,799.515,0.94834,1.41379,0.90985,0.89246,0.19167,0.19186,0.15418,0.80073,1.27562,0.86747,0.000509307,0.000509307,0.000509307
4,1068.63,0.90245,1.32596,0.90252,0.80725,0.234,0.20479,0.16479,0.79346,1.16633,0.87549,0.000471576,0.000471576,0.000471576
5,1312.2,0.87732,1.244,0.90129,0.90444,0.19659,0.20977,0.1639,0.86533,1.16745,0.87311,0.000432768,0.000432768,0.000432768
6,1574.18,0.83457,1.23234,0.88118,0.81766,0.20304,0.20213,0.1589,0.82963,1.18659,0.88532,0.00039396,0.00039396,0.00039396
7,1821.78,0.80594,1.14464,0.87421,0.83797,0.19459,0.23773,0.19433,0.74864,1.02682,0.86178,0.000355152,0.000355152,0.000355152
8,2072.47,0.79134,1.08997,0.86834,0.57862,0.24529,0.24979,0.20141,0.76158,0.9601,0.86492,0.000316344,0.000316344,0.000316344
9,2335.41,0.78187,1.03411,0.86966,0.83655,0.19811,0.25785,0.20655,0.79004,1.0008,0.87512,0.000277536,0.000277536,0.000277536
10,2597.73,0.76796,1.00995,0.86354,0.84693,0.19641,0.24696,0.20415,0.72806,0.95777,0.85577,0.000238728,0.000238728,0.000238728
11,2858.86,0.76474,0.95104,0.86232,0.85045,0.19739,0.26117,0.21519,0.70957,0.90917,0.85208,0.00019992,0.00019992,0.00019992
12,3121.52,0.73885,0.91634,0.85785,0.84937,0.19091,0.24983,0.20577,0.74556,0.92685,0.86074,0.000161112,0.000161112,0.000161112
13,3384.28,0.72766,0.89393,0.85519,0.51283,0.27653,0.29031,0.24044,0.70387,0.83412,0.85224,0.000122304,0.000122304,0.000122304
14,3645.49,0.70857,0.87099,0.85191,0.54871,0.29592,0.28082,0.23454,0.71357,0.83648,0.85496,8.3496e-05,8.3496e-05,8.3496e-05
15,3905.88,0.70111,0.83845,0.84606,0.67714,0.28261,0.2823,0.23558,0.70514,0.81487,0.85812,4.4688e-05,4.4688e-05,4.4688e-05
