epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.465,1.36674,2.96367,1.0178,0.8585,0.15315,0.16038,0.11773,0.99245,2.11355,0.91211,0.000194367,0.000194367,0.000194367
2,374.048,1.10055,1.66578,0.94033,0.86288,0.19616,0.18398,0.13713,0.93399,1.52134,0.90762,0.000364602,0.000364602,0.000364602
3,563.452,1.06217,1.53111,0.93924,0.77993,0.18835,0.19931,0.14897,0.9257,1.46186,0.90369,0.000508966,0.000508966,0.000508966
4,746.169,1.02499,1.44908,0.92587,0.79496,0.26579,0.22188,0.15869,0.95959,1.33944,0.89567,0.000471576,0.000471576,0.000471576
5,929.791,0.962,1.35512,0.91528,0.89298,0.20726,0.21647,0.1672,0.87265,1.25463,0.89082,0.000432768,0.000432768,0.000432768
6,4153.75,0.93729,1.40811,0.90518,0.89784,0.20497,0.21642,0.16462,0.86278,1.20679,0.8891,0.00039396,0.00039396,0.00039396
7,7200.73,0.91052,1.29858,0.90136,0.79796,0.21013,0.21726,0.16705,0.8812,1.18449,0.89226,0.000355152,0.000355152,0.000355152
8,7383.91,0.877,1.21738,0.89134,0.81895,0.20427,0.24929,0.19624,0.84162,1.10733,0.87767,0.000316344,0.000316344,0.000316344
9,7576.74,0.85646,1.14079,0.8853,0.8315,0.20216,0.24261,0.19106,0.82712,1.07726,0.88014,0.000277536,0.000277536,0.000277536
10,7765.7,0.84919,1.09741,0.87767,0.82355,0.20358,0.2364,0.18534,0.85172,1.06547,0.87955,0.000238728,0.000238728,0.000238728
11,7956.22,0.84006,1.05821,0.88053,0.82497,0.21475,0.24482,0.19319,0.83933,1.01498,0.8779,0.00019992,0.00019992,0.00019992
12,8141.77,0.82645,1.03563,0.87402,0.83158,0.20881,0.25042,0.19704,0.83207,1.00209,0.87683,0.000161112,0.000161112,0.000161112
13,8328.22,0.81087,0.99989,0.87156,0.82485,0.22098,0.25946,0.20675,0.82207,0.95917,0.87678,0.000122304,0.000122304,0.000122304
14,8513.08,0.79953,0.95605,0.86637,0.83525,0.21225,0.26121,0.20804,0.81223,0.94923,0.87308,8.3496e-05,8.3496e-05,8.3496e-05
15,8697.78,0.78448,0.92361,0.86355,0.84505,0.20529,0.27305,0.21698,0.80712,0.92426,0.86948,4.4688e-05,4.4688e-05,4.4688e-05
