                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9899,                 2.0622,                0.92021,                0.50942,                0.20587,                0.17144,                0.13807,                0.74865,                  1.111,                0.84592,             0.00019554,             0.00019554,             0.00019554
                      2,                0.78582,                 1.2525,                0.87201,                0.81534,                0.21997,                0.24044,                0.20052,                0.67526,                0.90036,                0.83946,              0.0003657,              0.0003657,              0.0003657
                      3,                0.75177,                 1.1092,                0.86824,                0.74893,                0.25949,                0.29551,                0.25072,                0.66289,                0.81535,                0.83856,             0.00050999,             0.00050999,             0.00050999
                      4,                0.71476,                 1.0065,                0.86111,                 0.7633,                0.26546,                0.28638,                0.24163,                0.61638,                0.80129,                0.82948,             0.00047158,             0.00047158,             0.00047158
                      5,                0.69342,                0.92539,                0.85722,                0.61227,                 0.3235,                0.33732,                 0.2845,                0.66347,                0.73408,                0.83301,             0.00043277,             0.00043277,             0.00043277
                      6,                0.66596,                0.88705,                0.84274,                0.77713,                0.34656,                0.33371,                0.28532,                0.57045,                0.74948,                0.82713,             0.00039396,             0.00039396,             0.00039396
                      7,                0.63881,                 0.8086,                0.83822,                0.71818,                0.35392,                0.36901,                0.31631,                0.57565,                0.67509,                0.82273,             0.00035515,             0.00035515,             0.00035515
                      8,                0.62673,                 0.7693,                0.83436,                0.84161,                0.29847,                0.36593,                0.30212,                0.57377,                0.68654,                0.82348,             0.00031634,             0.00031634,             0.00031634
                      9,                0.61179,                0.72926,                0.83248,                0.51388,                 0.4619,                0.42233,                0.34947,                0.55372,                0.66434,                 0.8206,             0.00027754,             0.00027754,             0.00027754
                     10,                0.59941,                0.69538,                0.82983,                0.83687,                0.36572,                0.42367,                0.34203,                0.58229,                0.66969,                0.82083,             0.00023873,             0.00023873,             0.00023873
                     11,                0.58953,                0.67285,                0.82801,                0.78371,                0.36583,                0.40695,                0.33859,                 0.5312,                 0.6242,                0.81597,             0.00019992,             0.00019992,             0.00019992
                     12,                0.57691,                 0.6551,                0.82643,                0.83244,                0.32504,                0.41519,                0.35239,                0.53105,                0.63562,                0.81822,             0.00016111,             0.00016111,             0.00016111
                     13,                0.57018,                0.63042,                 0.8224,                0.48976,                0.52131,                0.46157,                0.38774,                0.51858,                0.60382,                0.81564,              0.0001223,              0.0001223,              0.0001223
                     14,                0.56001,                0.60506,                0.81928,                0.53275,                0.47834,                0.48868,                0.41402,                 0.5166,                0.58888,                0.81336,             8.3496e-05,             8.3496e-05,             8.3496e-05
                     15,                0.55433,                0.58138,                0.81953,                0.60631,                0.46867,                0.49976,                0.42599,                0.50435,                0.57524,                0.81276,             4.4688e-05,             4.4688e-05,             4.4688e-05
