epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.9484,1.49212,3.89412,1.0849,0.81928,0.04357,0.14439,0.09518,1.23372,3.05271,0.9523,0.000193519,0.000193519,0.000193519
2,119.919,1.1992,2.27484,0.9856,0.82176,0.19636,0.21741,0.15123,1.04796,1.68661,0.93589,0.000350957,0.000350957,0.000350957
3,178.311,1.16342,2.08757,0.96078,0.82291,0.27037,0.23155,0.15624,1.10579,1.58337,0.93876,0.000469586,0.000469586,0.000469586
4,237.857,1.15143,2.02114,0.95571,0.83618,0.25517,0.23754,0.16727,1.03538,1.46319,0.93114,0.000413364,0.000413364,0.000413364
5,297.429,1.05509,1.83192,0.94215,0.82948,0.28657,0.25023,0.17733,0.99536,1.3605,0.92326,0.000355152,0.000355152,0.000355152
6,356.604,1.03671,1.72537,0.92963,0.84479,0.29255,0.2594,0.18746,0.9788,1.2885,0.91587,0.00029694,0.00029694,0.00029694
7,415.738,1.03386,1.67611,0.92181,0.71268,0.27874,0.26342,0.19229,0.97396,1.26011,0.91018,0.000238728,0.000238728,0.000238728
8,475.582,1.00561,1.61221,0.91417,0.85524,0.26815,0.27424,0.20297,0.94002,1.23935,0.90866,0.000180516,0.000180516,0.000180516
9,535.704,0.98673,1.599,0.91627,0.71096,0.28539,0.27067,0.20226,0.93071,1.24723,0.90536,0.000122304,0.000122304,0.000122304
10,594.917,0.97596,1.54498,0.89619,0.73343,0.28468,0.29371,0.21839,0.94037,1.18475,0.89873,6.4092e-05,6.4092e-05,6.4092e-05
