epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.887,1.38048,3.15243,1.00293,0.86246,0.12687,0.16546,0.11746,0.98347,2.41694,0.89384,0.000193798,0.000193798,0.000193798
2,275.893,1.13323,1.71867,0.93354,0.84622,0.21835,0.19344,0.14026,0.96472,1.64742,0.88994,0.000364071,0.000364071,0.000364071
3,428.55,1.06339,1.56846,0.92245,0.65019,0.21592,0.19381,0.14667,0.9241,1.56866,0.87617,0.000508472,0.000508472,0.000508472
4,583.255,1.05415,1.49112,0.92217,0.86469,0.23133,0.22531,0.17073,0.86977,1.27071,0.86654,0.000471576,0.000471576,0.000471576
5,736.824,0.97867,1.37255,0.90016,0.87481,0.21886,0.22884,0.17407,0.86715,1.20735,0.86652,0.000432768,0.000432768,0.000432768
6,875.478,0.93845,1.44678,0.88341,0.88973,0.2184,0.23475,0.1798,0.87708,1.26037,0.86366,0.00039396,0.00039396,0.00039396
7,1014.42,0.90956,1.34094,0.88537,0.88438,0.21972,0.23638,0.17959,0.87964,1.32882,0.86382,0.000355152,0.000355152,0.000355152
8,1150.7,0.89824,1.30813,0.89004,0.89118,0.23613,0.24403,0.18891,0.86044,1.13244,0.86564,0.000316344,0.000316344,0.000316344
9,1284.38,0.86066,1.24326,0.87362,0.79711,0.22116,0.25635,0.19906,0.82581,1.12518,0.85755,0.000277536,0.000277536,0.000277536
10,1422.22,0.87229,1.20381,0.87652,0.90079,0.24458,0.26919,0.20852,0.87334,1.06809,0.85887,0.000238728,0.000238728,0.000238728
11,1561.74,0.83886,1.12917,0.8656,0.81298,0.22847,0.28268,0.22457,0.8111,1.02655,0.8566,0.00019992,0.00019992,0.00019992
12,1707.26,0.83498,1.09896,0.86063,0.81085,0.23913,0.28174,0.2216,0.84009,0.99297,0.85209,0.000161112,0.000161112,0.000161112
13,1843.56,0.8047,1.03967,0.85939,0.80572,0.23572,0.28835,0.23086,0.80039,1.0015,0.84932,0.000122304,0.000122304,0.000122304
14,1978.59,0.80538,1.04124,0.85791,0.92973,0.22762,0.29346,0.23515,0.78391,0.94384,0.8469,8.3496e-05,8.3496e-05,8.3496e-05
15,2114.61,0.7905,1.01709,0.84992,0.81564,0.22986,0.28965,0.23322,0.77785,0.96255,0.84605,4.4688e-05,4.4688e-05,4.4688e-05
