epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2494,1.64297,4.01038,1.12949,0.9652,0.02122,0.17348,0.1272,1.26287,3.81739,0.91145,0.0001925,0.0001925,0.0001925
2,94.7738,1.33606,2.34581,0.99735,0.84927,0.17651,0.19112,0.11554,1.16482,2.34331,0.92531,0.000333555,0.000333555,0.000333555
3,141.46,1.27767,2.04805,0.99283,0.84628,0.17027,0.2192,0.13601,1.1385,1.74288,0.94335,0.00041917,0.00041917,0.00041917
4,188.532,1.25214,1.9334,1.001,0.83249,0.18736,0.20983,0.14805,1.0805,1.6933,0.91937,0.00033852,0.00033852,0.00033852
5,236.042,1.17772,1.7957,0.96871,0.83923,0.20806,0.2269,0.15976,1.04682,1.59376,0.91249,0.00025536,0.00025536,0.00025536
6,283.62,1.16708,1.65646,0.94853,0.82816,0.25195,0.24644,0.17674,1.04061,1.54649,0.90876,0.0001722,0.0001722,0.0001722
7,331.361,1.1645,1.64006,0.97087,0.82928,0.25757,0.24704,0.1793,1.03274,1.54496,0.90729,8.904e-05,8.904e-05,8.904e-05
