epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,499.498,1.05666,2.24208,0.94406,0.82025,0.17466,0.16912,0.13688,0.71274,1.35797,0.8528,0.00019538,0.00019538,0.00019538
2,1053.27,0.83508,1.37315,0.888,0.90657,0.17705,0.20852,0.17622,0.6459,1.20579,0.83822,0.000365549,0.000365549,0.000365549
3,1602.48,0.80007,1.24722,0.8841,0.85282,0.181,0.22734,0.18494,0.66177,1.05245,0.84322,0.000509846,0.000509846,0.000509846
4,7223.48,0.76025,1.12667,0.87483,0.34455,0.31413,0.2602,0.21487,0.62406,0.97154,0.83531,0.000471576,0.000471576,0.000471576
5,7723.39,0.74053,1.03038,0.87327,0.61905,0.26444,0.2678,0.21883,0.70691,0.935,0.84169,0.000432768,0.000432768,0.000432768
6,8220.36,0.69178,0.99765,0.85184,0.57834,0.32512,0.27966,0.23805,0.61473,0.89699,0.83348,0.00039396,0.00039396,0.00039396
7,9222.26,0.66935,0.90961,0.84592,0.72982,0.29356,0.29671,0.251,0.59893,0.86239,0.83202,0.000355152,0.000355152,0.000355152
8,9765.5,0.65544,0.85522,0.84121,0.69482,0.34534,0.32432,0.27125,0.58901,0.7696,0.83191,0.000316344,0.000316344,0.000316344
9,10266.9,0.65232,0.82832,0.84095,0.76376,0.2904,0.37064,0.31414,0.57666,0.73702,0.82945,0.000277536,0.000277536,0.000277536
10,10768.9,0.63701,0.77444,0.83846,0.65373,0.35799,0.35227,0.29929,0.58008,0.72406,0.82577,0.000238728,0.000238728,0.000238728
11,11912.8,0.615,0.74302,0.83481,0.65519,0.36367,0.36328,0.30085,0.56851,0.70691,0.82687,0.00019992,0.00019992,0.00019992
12,12583.7,0.6155,0.71888,0.83486,0.49821,0.42233,0.3653,0.31422,0.57134,0.70105,0.82612,0.000161112,0.000161112,0.000161112
13,13071.3,0.59531,0.68483,0.83224,0.56124,0.40715,0.39928,0.34867,0.55508,0.66831,0.82348,0.000122304,0.000122304,0.000122304
14,13690.1,0.58579,0.66792,0.82797,0.44607,0.4378,0.38367,0.33349,0.53408,0.64751,0.82178,8.3496e-05,8.3496e-05,8.3496e-05
15,14190.7,0.58174,0.65733,0.8275,0.61608,0.41948,0.44593,0.39055,0.52417,0.63137,0.81991,4.4688e-05,4.4688e-05,4.4688e-05
