epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.7703,1.48938,3.67063,1.07333,0.96513,0.02813,0.15154,0.103,1.04897,3.37968,0.87677,0.000192302,0.000192302,0.000192302
2,183.29,1.21451,2.04804,0.97348,0.85202,0.16359,0.20901,0.14926,1.01102,2.2094,0.88948,0.000369081,0.000369081,0.000369081
3,275.198,1.1253,1.75467,0.95556,0.72746,0.20845,0.20264,0.14406,1.00526,1.76163,0.8954,0.000526456,0.000526456,0.000526456
4,366.205,1.07913,1.61949,0.94027,0.49721,0.25278,0.22862,0.16622,0.9653,1.49464,0.88713,0.000500682,0.000500682,0.000500682
5,459.794,1.04853,1.59778,0.93642,0.85846,0.24077,0.25348,0.18536,0.93438,1.31081,0.87006,0.000471576,0.000471576,0.000471576
6,553.163,1.0023,1.50205,0.92071,0.84951,0.23289,0.25465,0.18595,0.90064,1.33418,0.86823,0.00044247,0.00044247,0.00044247
7,647.346,0.97946,1.42964,0.92765,0.85627,0.26829,0.25027,0.18753,0.8904,1.24958,0.87112,0.000413364,0.000413364,0.000413364
8,740.568,0.97932,1.36265,0.91633,0.75721,0.26332,0.26423,0.19935,0.90633,1.20763,0.86547,0.000384258,0.000384258,0.000384258
9,833.853,0.96113,1.27577,0.91312,0.89117,0.26272,0.27612,0.20822,0.87787,1.1794,0.86357,0.000355152,0.000355152,0.000355152
10,927.512,0.94616,1.31285,0.91814,0.86532,0.2574,0.25242,0.18916,0.88822,1.23733,0.86717,0.000326046,0.000326046,0.000326046
11,1021.27,0.92762,1.40379,0.88852,0.87952,0.25758,0.27007,0.20107,0.949,1.2286,0.87727,0.00029694,0.00029694,0.00029694
12,1114.73,0.92348,1.35928,0.88761,0.87608,0.26965,0.27148,0.20687,0.89901,1.15513,0.86782,0.000267834,0.000267834,0.000267834
13,1209.2,0.9027,1.31248,0.88598,0.89863,0.25541,0.27703,0.20642,0.93414,1.20379,0.8752,0.000238728,0.000238728,0.000238728
14,1302.11,0.88944,1.2542,0.8825,0.90181,0.25565,0.28799,0.22185,0.86927,1.12363,0.86229,0.000209622,0.000209622,0.000209622
15,1395.66,0.88107,1.21643,0.88638,0.90143,0.2597,0.30196,0.23483,0.86503,1.06686,0.86271,0.000180516,0.000180516,0.000180516
16,1489.43,0.85905,1.19252,0.87786,0.89782,0.26707,0.29937,0.23229,0.86278,1.10361,0.86177,0.00015141,0.00015141,0.00015141
17,1580.4,0.86014,1.18116,0.8729,0.89954,0.25579,0.29672,0.22826,0.85939,1.12432,0.86132,0.000122304,0.000122304,0.000122304
18,1671.27,0.84235,1.15141,0.86871,0.90751,0.26642,0.3031,0.23602,0.87128,1.03713,0.86243,9.3198e-05,9.3198e-05,9.3198e-05
19,1766.06,0.84785,1.13838,0.88145,0.91716,0.24332,0.29805,0.23402,0.84301,1.02651,0.86079,6.4092e-05,6.4092e-05,6.4092e-05
20,1859.58,0.82988,1.11623,0.87411,0.92109,0.24251,0.30039,0.23325,0.84346,1.03412,0.86003,3.4986e-05,3.4986e-05,3.4986e-05
